Month,Day,Hour,Year,System production (kWh),Energy Price ($/kWh),REC price ($/MWh)
1,1,0,2020,10,0.02845,45
1,1,1,2020,10,0.02501,45.0001
1,1,2,2020,10,0.02445,45.0002
1,1,3,2020,10,0.02420,45.0003
1,1,4,2020,10,0.02371,45.0004
1,1,5,2020,10,0.02384,45.0005
1,1,6,2020,10,0.02449,45.0006
1,1,7,2020,10,0.02567,45.0007
1,1,8,2020,2,0.02612,45.0008
1,1,9,2020,2,0.02650,45.0009
1,1,10,2020,2,0.02644,45.0010
1,1,11,2020,2,0.02680,45.0011
1,1,12,2020,2,0.02715,45.0012
1,1,13,2020,2,0.02713,45.0013
1,1,14,2020,2,0.02700,45.0014
1,1,15,2020,2,0.02750,45.0015
1,1,16,2020,2,0.02854,45.0016
1,1,17,2020,2,0.02973,45.0017
1,1,18,2020,2,0.03134,45.0018
1,1,19,2020,2,0.03182,45.0020
1,1,20,2020,2,0.03085,45.0021
1,1,21,2020,2,0.02982,45.0022
1,1,22,2020,2,0.02890,45.0023
1,1,23,2020,2,0.02783,45.0024
1,2,0,2020,10,0.02714,45.0025
1,2,1,2020,10,0.02709,45.0026
1,2,2,2020,10,0.02704,45.0027
1,2,3,2020,10,0.02701,45.0028
1,2,4,2020,10,0.02735,45.0029
1,2,5,2020,10,0.02821,45.0030
1,2,6,2020,10,0.02936,45.0031
1,2,7,2020,10,0.03038,45.0032
1,2,8,2020,2,0.03062,45.0033
1,2,9,2020,2,0.03065,45.0034
1,2,10,2020,2,0.03145,45.0035
1,2,11,2020,2,0.03079,45.0036
1,2,12,2020,2,0.03064,45.0037
1,2,13,2020,2,0.03053,45.0038
1,2,14,2020,2,0.03038,45.0039
1,2,15,2020,2,0.03072,45.0040
1,2,16,2020,2,0.03266,45.0041
1,2,17,2020,2,0.03540,45.0042
1,2,18,2020,2,0.03827,45.0043
1,2,19,2020,2,0.04014,45.0044
1,2,20,2020,2,0.03796,45.0045
1,2,21,2020,2,0.03486,45.0046
1,2,22,2020,2,0.03227,45.0047
1,2,23,2020,2,0.03115,45.0048
1,3,0,2020,10,0.03005,45.0049
1,3,1,2020,10,0.02959,45.0050
1,3,2,2020,10,0.02934,45.0051
1,3,3,2020,10,0.02959,45.0052
1,3,4,2020,10,0.02999,45.0053
1,3,5,2020,10,0.03118,45.0054
1,3,6,2020,10,0.03510,45.0055
1,3,7,2020,10,0.04318,45.0057
1,3,8,2020,2,0.03631,45.0058
1,3,9,2020,2,0.03300,45.0059
1,3,10,2020,2,0.03286,45.0060
1,3,11,2020,2,0.03275,45.0061
1,3,12,2020,2,0.03206,45.0062
1,3,13,2020,2,0.03159,45.0063
1,3,14,2020,2,0.03129,45.0064
1,3,15,2020,2,0.03135,45.0065
1,3,16,2020,2,0.03394,45.0066
1,3,17,2020,2,0.03640,45.0067
1,3,18,2020,2,0.04714,45.0068
1,3,19,2020,2,0.08124,45.0069
1,3,20,2020,2,0.04002,45.0070
1,3,21,2020,2,0.03851,45.0071
1,3,22,2020,2,0.03407,45.0072
1,3,23,2020,2,0.03125,45.0073
1,4,0,2020,10,0.03044,45.0074
1,4,1,2020,10,0.03016,45.0075
1,4,2,2020,10,0.02999,45.0076
1,4,3,2020,10,0.03013,45.0077
1,4,4,2020,10,0.03077,45.0078
1,4,5,2020,10,0.03457,45.0079
1,4,6,2020,10,0.26547,45.0080
1,4,7,2020,10,0.38654,45.0081
1,4,8,2020,2,0.03755,45.0082
1,4,9,2020,2,0.03537,45.0083
1,4,10,2020,2,0.03429,45.0084
1,4,11,2020,2,0.03363,45.0085
1,4,12,2020,2,0.03296,45.0086
1,4,13,2020,2,0.03215,45.0087
1,4,14,2020,2,0.03158,45.0088
1,4,15,2020,2,0.03146,45.0089
1,4,16,2020,2,0.03266,45.0090
1,4,17,2020,2,0.03476,45.0091
1,4,18,2020,2,0.03913,45.0092
1,4,19,2020,2,0.03752,45.0094
1,4,20,2020,2,0.03678,45.0095
1,4,21,2020,2,0.03378,45.0096
1,4,22,2020,2,0.03220,45.0097
1,4,23,2020,2,0.03082,45.0098
1,5,0,2020,10,0.02953,45.0099
1,5,1,2020,10,0.02920,45.0100
1,5,2,2020,10,0.02922,45.0101
1,5,3,2020,10,0.02928,45.0102
1,5,4,2020,10,0.03046,45.0103
1,5,5,2020,10,0.03213,45.0104
1,5,6,2020,10,0.03509,45.0105
1,5,7,2020,10,0.04545,45.0106
1,5,8,2020,2,0.03575,45.0107
1,5,9,2020,2,0.03366,45.0108
1,5,10,2020,2,0.03205,45.0109
1,5,11,2020,2,0.03149,45.0110
